Truth,Decoded
Va bene grazie lo stesso,e lo
Salve quanto costa quell articolo,puroeo lo e aciato
Dovrebbe arrivare tra qualche minuto,lo lo una a un tutto
Le auguro una buona giornata,lo un lo io io
E in offerta costa dieci euro,e lo lo lo e e euro
"Certo volentieri, io lo prendero macchiato",tutto io io io lo e acito
Si grazie e arrivederci,a e a io
Tutto bene tu,un lo
Piacere Luigi come stai,lo io a
Purtroppo non lo so pero potresti chiedere all autista,purito lo lo stai che e acito
Va bene grazie lo stesso,e a io
Perfetto vorrei comprarne due.,bene a lo
E in offerta costa dieci euro,e a a a euro
Certo ecco a lei vuole un sacchetto,e lo e e certo
Salve quanto costa quell articolo,e a lo
Buonasera io sono Mario,lo e lo io mario
