Truth,Decoded
Tutto bene grazie,un lo
Certo ecco a lei vuole un sacchetto,buona lo lo un e acito
Buonasera io sono Mario,bene lo lo mario
Le auguro una buona giornata,a un a io
A che ora arriva il pullman,un lo io
Piacere Luigi come stai,un lo io io a
Buongiorno io sono Mario,lo io mario
Dovrebbe arrivare tra qualche minuto,pero lo lo lo e lo
Salve quanto costa quell articolo,certo un io io
Va bene grazie lo stesso,un a lo
Purtroppo non lo so pero potresti chiedere all autista,butuono lo io acito
Prendiamo un caffe al bar,lo e mario
Perfetto vorrei comprarne due.,due lo e mario
E in offerta costa dieci euro,e a lo lo
Quanto costa il biglietto,un un tu
Si grazie e arrivederci,bene lo
