Truth,Decoded
Tutto bene grazie,un e a
Certo ecco a lei vuole un sacchetto,un lo lo un e sacito
Buonasera io sono Mario,bene lo io mario
Le auguro una buona giornata,e a un a io io
A che ora arriva il pullman,a un lo a a
Piacere Luigi come stai,un lo io lo mario
Buongiorno io sono Mario,buonono io mario
Dovrebbe arrivare tra qualche minuto,tu bene lo lo e lo
Salve quanto costa quell articolo,certo e io io mario
Va bene grazie lo stesso,a e lo lo
Purtroppo non lo so pero potresti chiedere all autista,purtuono lo ecco acito
Prendiamo un caffe al bar,un un mario
Perfetto vorrei comprarne due.,buaeon un mario
E in offerta costa dieci euro,e a un lo lo
Quanto costa il biglietto,un un io
Si grazie e arrivederci,si bene lo e io
