Truth,Decoded
Buongiorno io sono Mario,lo lo
Le auguro una buona giornata,lo lo e lo
A che ora arriva il pullman,e lo lo
Prego,lo
Tutto bene grazie,lo
Dovrebbe arrivare tra qualche minuto,e lo lo e lo
"Certo volentieri, io lo prendero macchiato",lo lo e lo
Quanto costa il biglietto,e lo
Prendiamo un caffe al bar,a lo
Dovrebbe arrivare tra qualche minuto,lo lo e lo
Piacere Luigi come stai,lo e io
Salve quanto costa quell articolo,e e lo
Prego,lo lo
Buonasera io sono Mario,lo e lo
Si grazie e arrivederci,lo e lo
Tutto bene tu,lo e lo
