Truth,Decoded
Buongiorno io sono Mario,lo lo
Le auguro una buona giornata,sono
A che ora arriva il pullman,lo
Prego,lo
Tutto bene grazie,lo
Dovrebbe arrivare tra qualche minuto,e lo lo lo
"Certo volentieri, io lo prendero macchiato",lo lo
Quanto costa il biglietto,e lo
Prendiamo un caffe al bar,a lo
Dovrebbe arrivare tra qualche minuto,lo lo lo
Piacere Luigi come stai,lo lo
Salve quanto costa quell articolo,e lo lo
Prego,e lo
Buonasera io sono Mario,lo lo
Si grazie e arrivederci,e e lo
Tutto bene tu,lo lo
