Truth,Decoded
Buongiorno io sono Mario,e lo e lo
Le auguro una buona giornata,roeoeoeoeoeonero
A che ora arriva il pullman,e lo lo sono
Prego,lo lo
Tutto bene grazie,lo lo
Dovrebbe arrivare tra qualche minuto,lo lo eteto
"Certo volentieri, io lo prendero macchiato",lo lo omonce lo
Quanto costa il biglietto,roioaeo
Prendiamo un caffe al bar,e lo e lo
Dovrebbe arrivare tra qualche minuto,ptrororo
Piacere Luigi come stai,ptoror lo
Salve quanto costa quell articolo,pioroio
Prego,putrtrororo
Buonasera io sono Mario,pero
Si grazie e arrivederci,putrorororo
Tutto bene tu,pueororororo
