Truth,Decoded
Quanto costa il biglietto,lo e e lo
"Certo volentieri, io lo prendero macchiato",lo oeiri io sono mario
Prendiamo un caffe al bar,euro lo e bar
Va bene grazie lo stesso,due e io
Piacere Luigi come stai,pero un lo mario
Le auguro una buona giornata,le a un un a
Salve quanto costa quell articolo,ora a le io
Prego,certo
Buonasera io sono Mario,lo e io so mario
Perfetto vorrei comprarne due.,certo ora lo lo
Buongiorno io sono Mario,un io e mario
Dovrebbe arrivare tra qualche minuto,tu che a a a e minuto
Purtroppo non lo so pero potresti chiedere all autista,purtrtopononoeo lo porede amenu rato
Certo ecco a lei vuole un sacchetto,peoea lo lo macheto
A che ora arriva il pullman,lo lo lo a
Tutto bene grazie,un un a
