Truth,Decoded
Certo ecco a lei vuole un sacchetto,lo si
E in offerta costa dieci euro,due io
Va bene grazie lo stesso,lo e io io
Le auguro una buona giornata,lo lo e io a
Purtroppo non lo so pero potresti chiedere all autista,purtro lo lo un
Prendiamo un caffe al bar,lo lo
A che ora arriva il pullman,lo e e io
Tutto bene grazie,tu lo io
Quanto costa il biglietto,lo io
Perfetto vorrei comprarne due.,lo un
Buongiorno io sono Mario,lo
"Certo volentieri, io lo prendero macchiato",lo e e
Si grazie e arrivederci,io e
Tutto bene grazie,lo a
Tutto bene tu,lo lo
E in offerta costa dieci euro,a a lo a e io
