Truth,Decoded
Buongiorno io sono Mario,lo io io mario
Le auguro una buona giornata,a io
A che ora arriva il pullman,e lo lo io a
Prego,lo
Tutto bene grazie,lo e e a
Dovrebbe arrivare tra qualche minuto,pbravrara a minuto
"Certo volentieri, io lo prendero macchiato",un lo io ora mario
Quanto costa il biglietto,tutto e e lo
Prendiamo un caffe al bar,euro a a
Dovrebbe arrivare tra qualche minuto,lo e a tu
Piacere Luigi come stai,un e io e a
Salve quanto costa quell articolo,che e e
Prego,e io
Buonasera io sono Mario,e a
Si grazie e arrivederci,un
Tutto bene tu,e lo a
