Truth,Decoded
Tutto bene grazie,tutto un grazie
Certo ecco a lei vuole un sacchetto,quanto un lo lo un lo macchiato
Buonasera io sono Mario,buona io sono mario
Le auguro una buona giornata,a un una io
A che ora arriva il pullman,non a io un
Piacere Luigi come stai,puanen lo lo lo mario
Buongiorno io sono Mario,buona io sono mario
Dovrebbe arrivare tra qualche minuto,sono bene lo a le lo
Salve quanto costa quell articolo,ciaov non un io le stceto
Va bene grazie lo stesso,lo bene lo e io
Purtroppo non lo so pero potresti chiedere all autista,purtonono lo lo otsicdede alactista
Prendiamo un caffe al bar,sono un mario
Perfetto vorrei comprarne due.,tutto un e grazie
E in offerta costa dieci euro,io non un lo
Quanto costa il biglietto,un un io
Si grazie e arrivederci,sirea ecco
