Truth,Decoded
Prego,prego
Tutto bene tu,lo lo lo mario
"Certo volentieri, io lo prendero macchiato",purtono lo lo si lo macchiato
Si grazie e arrivederci,ciroce e lo cetceo
Buonasera io sono Mario,buona lo sono mario
Quanto costa il biglietto,puatono stai lo io autista
A che ora arriva il pullman,lo e a un plma
Perfetto vorrei comprarne due.,certo ora lo due
Certo ecco a lei vuole un sacchetto,lo lo e lo le ecco
Tutto bene grazie,tutonariu
Purtroppo non lo so pero potresti chiedere all autista,purtroppo lo lo lo sono costa come al autista
Buongiorno io sono Mario,buononio so mario
Prendiamo un caffe al bar,purede un e bar
Piacere Luigi come stai,buroco e e lo mario
Prego,pero
Tutto bene tu,tutto tu
