Truth,Decoded
Tutto bene grazie,un un io
Certo ecco a lei vuole un sacchetto,non a lo un lo macchiato
Buonasera io sono Mario,bunenio sono mario
Le auguro una buona giornata,a un una io
A che ora arriva il pullman,a un a a
Piacere Luigi come stai,puanenlo io lo mario
Buongiorno io sono Mario,buononio io mario
Dovrebbe arrivare tra qualche minuto,lo bene lo a e io
Salve quanto costa quell articolo,seanon un io lo sacito
Va bene grazie lo stesso,a e e io
Purtroppo non lo so pero potresti chiedere all autista,purtonon lo lo oiceo achito
Prendiamo un caffe al bar,lo un mario
Perfetto vorrei comprarne due.,buaton un mario
E in offerta costa dieci euro,a un lo lo lo
Quanto costa il biglietto,un un io
Si grazie e arrivederci,stai e io
