Truth,Decoded
Prego,pero
Tutto bene tu,lo lo lo io
"Certo volentieri, io lo prendero macchiato",puatnon si lo io lo macchiato
Si grazie e arrivederci,un e lo io
Buonasera io sono Mario,bene un mario
Quanto costa il biglietto,tutto io lo io autista
A che ora arriva il pullman,e e un plma
Perfetto vorrei comprarne due.,certo ora e a
Certo ecco a lei vuole un sacchetto,lo lo e lo e ecco
Tutto bene grazie,tutnaiu
Purtroppo non lo so pero potresti chiedere all autista,purtroppo lo lo pero stai come al autista
Buongiorno io sono Mario,buononio lo mario
Prendiamo un caffe al bar,pureacn e a
Piacere Luigi come stai,euro e e mario
Prego,lo
Tutto bene tu,tutto tu
