Truth,Decoded
Quanto costa il biglietto,e e lo
"Certo volentieri, io lo prendero macchiato",sono io e e mario
Prendiamo un caffe al bar,e lo a mario
Va bene grazie lo stesso,e e e lo
Piacere Luigi come stai,lo un mario
Le auguro una buona giornata,e lo lo a lo
Salve quanto costa quell articolo,lo a e lo
Prego,lo lo
Buonasera io sono Mario,lo lo lo lo mario
Perfetto vorrei comprarne due.,e lo lo
Buongiorno io sono Mario,lo lo lo mario
Dovrebbe arrivare tra qualche minuto,e lo a tutto
Purtroppo non lo so pero potresti chiedere all autista,certo lo lo lo poeiede monctitato
Certo ecco a lei vuole un sacchetto,lo e lo mario
A che ora arriva il pullman,lo lo lo lo
Tutto bene grazie,un io
