Truth,Decoded
Prego,io
Tutto bene tu,lo lo mario
"Certo volentieri, io lo prendero macchiato",tutto lo lo lo e mario
Si grazie e arrivederci,lo lo lo io io
Buonasera io sono Mario,butoe lo lo io
Quanto costa il biglietto,pero lo io io
A che ora arriva il pullman,e lo lo lo lo due
Perfetto vorrei comprarne due.,lo lo a ecco
Certo ecco a lei vuole un sacchetto,lo e lo lo lo le ecco
Tutto bene grazie,lo lo
Purtroppo non lo so pero potresti chiedere all autista,certo lo lo lo lo lo si come lautito
Buongiorno io sono Mario,lo lo lo lo
Prendiamo un caffe al bar,lo lo e io
Piacere Luigi come stai,lo lo lo io mario
Prego,un io
Tutto bene tu,e lo
