Truth,Decoded
Va bene grazie lo stesso,e lo
Salve quanto costa quell articolo,certo lo lo io lo io
Dovrebbe arrivare tra qualche minuto,so uoaua e lo
Le auguro una buona giornata,lo lo a lo
E in offerta costa dieci euro,e lo lo lo lo lo e lo
"Certo volentieri, io lo prendero macchiato",euro lo lo lo lo e lo
Si grazie e arrivederci,a a a lo
Tutto bene tu,e lo
Piacere Luigi come stai,pero lo
Purtroppo non lo so pero potresti chiedere all autista,lo lo e tu a e mario
Va bene grazie lo stesso,e lo
Perfetto vorrei comprarne due.,un e a lo
E in offerta costa dieci euro,a lo a lo
Certo ecco a lei vuole un sacchetto,e e e e io
Salve quanto costa quell articolo,e e a lo
Buonasera io sono Mario,e lo e lo
