Truth,Decoded
Tutto bene grazie,un io
Certo ecco a lei vuole un sacchetto,lo lo lo lo mario
Buonasera io sono Mario,e lo lo lo mario
Le auguro una buona giornata,lo lo a io io
A che ora arriva il pullman,a un lo lo lo
Piacere Luigi come stai,lo lo io e io
Buongiorno io sono Mario,lo lo mario
Dovrebbe arrivare tra qualche minuto,lo lo e a e lo
Salve quanto costa quell articolo,a lo io io
Va bene grazie lo stesso,lo e io
Purtroppo non lo so pero potresti chiedere all autista,urtuo lo lo io acito
Prendiamo un caffe al bar,lo mario
Perfetto vorrei comprarne due.,lo e mario
E in offerta costa dieci euro,e a e lo
Quanto costa il biglietto,lo lo lo io
Si grazie e arrivederci,e io
