Truth,Decoded
Prego,e lo lo
Tutto bene tu,e lo
"Certo volentieri, io lo prendero macchiato",certo lo lo
Si grazie e arrivederci,lo lo
Buonasera io sono Mario,pero lo lo
Quanto costa il biglietto,certo io
A che ora arriva il pullman,e lo lo lo lo
Perfetto vorrei comprarne due.,lo lo lo e lo
Certo ecco a lei vuole un sacchetto,lo lo lo lo lo lo lo
Tutto bene grazie,pero lo
Purtroppo non lo so pero potresti chiedere all autista,tu lo lo lo lo lo e e io
Buongiorno io sono Mario,lo lo
Prendiamo un caffe al bar,lo lo e lo
Piacere Luigi come stai,pero lo lo lo
Prego,e io
Tutto bene tu,pero lo
