Truth,Decoded
Certo ecco a lei vuole un sacchetto,lo io
E in offerta costa dieci euro,lo io
Va bene grazie lo stesso,e io
Le auguro una buona giornata,lo lo lo io lo
Purtroppo non lo so pero potresti chiedere all autista,pero lo e io
Prendiamo un caffe al bar,lo lo lo io
A che ora arriva il pullman,lo io
Tutto bene grazie,lo io
Quanto costa il biglietto,a a
Perfetto vorrei comprarne due.,lo lo io e io
Buongiorno io sono Mario,lo lo
"Certo volentieri, io lo prendero macchiato",e lo e lo
Si grazie e arrivederci,a io
Tutto bene grazie,lo io io
Tutto bene tu,lo lo
E in offerta costa dieci euro,lo a lo e lo
