Truth,Decoded
Prego,lo
Tutto bene tu,tu lo lo mario
"Certo volentieri, io lo prendero macchiato",puatonon lo lo e lo macchiato
Si grazie e arrivederci,cuanca a lo certo
Buonasera io sono Mario,lo e io un lo mario
Quanto costa il biglietto,puatono stai io io lo autista
A che ora arriva il pullman,che e a io io lo
Perfetto vorrei comprarne due.,certo ora copelauta
Certo ecco a lei vuole un sacchetto,lo lo a a lo le ecco
Tutto bene grazie,tutto e grazie
Purtroppo non lo so pero potresti chiedere all autista,purtroppo lo lo lo lo lo costa come al autista
Buongiorno io sono Mario,buona io sono mario
Prendiamo un caffe al bar,puredeo un aelari
Piacere Luigi come stai,buroco e e il mario
Prego,prego
Tutto bene tu,tutto e tu
