Truth,Decoded
Quanto costa il biglietto,lo e e lo
"Certo volentieri, io lo prendero macchiato",lo euro io lo mario
Prendiamo un caffe al bar,lo lo a a a
Va bene grazie lo stesso,e e e a e euro
Piacere Luigi come stai,lo un mario
Le auguro una buona giornata,le un un a a
Salve quanto costa quell articolo,certo iaie lo
Prego,lo
Buonasera io sono Mario,lo e io lo mario
Perfetto vorrei comprarne due.,pero io e
Buongiorno io sono Mario,bene io io mario
Dovrebbe arrivare tra qualche minuto,e un a a e minuto
Purtroppo non lo so pero potresti chiedere all autista,purtrto lo lo e prego sono tutto
Certo ecco a lei vuole un sacchetto,e e lo e mario
A che ora arriva il pullman,un lo lo a
Tutto bene grazie,un e a
