Truth,Decoded
Buongiorno io sono Mario,buonoro io sono mario
Le auguro una buona giornata,leaguron non a
A che ora arriva il pullman,che a mario ilman
Prego,pero
Tutto bene grazie,tutto benazie
Dovrebbe arrivare tra qualche minuto,dbreararar che minuto
"Certo volentieri, io lo prendero macchiato",pertoeni io lo prendero macchiato
Quanto costa il biglietto,quanto tu si lo
Prendiamo un caffe al bar,predrbo una al a
Dovrebbe arrivare tra qualche minuto,lo si arararae euro
Piacere Luigi come stai,puriri io ciele stai
Salve quanto costa quell articolo,prego a e lo
Prego,prego
Buonasera io sono Mario,purioa io e bar
Si grazie e arrivederci,tra io io ora
Tutto bene tu,quaetiro io euro
