Truth,Decoded
Quanto costa il biglietto,ptoe bar
"Certo volentieri, io lo prendero macchiato",puoeo io e mario
Prendiamo un caffe al bar,lo a a a
Va bene grazie lo stesso,e e e a euro
Piacere Luigi come stai,lo un mario
Le auguro una buona giornata,e lo una a
Salve quanto costa quell articolo,lo a a lo
Prego,lo
Buonasera io sono Mario,tutto a lo lo mario
Perfetto vorrei comprarne due.,e io lo
Buongiorno io sono Mario,un lo lo a
Dovrebbe arrivare tra qualche minuto,e e a a tutto
Purtroppo non lo so pero potresti chiedere all autista,certo sono lo e predea monctiato
Certo ecco a lei vuole un sacchetto,e e a lo mario
A che ora arriva il pullman,un lo lo a
Tutto bene grazie,un a
