Truth,Decoded
Quanto costa il biglietto,e e lo
"Certo volentieri, io lo prendero macchiato",pero oeiri io sono mario
Prendiamo un caffe al bar,pero lo e e bar
Va bene grazie lo stesso,due ora e io
Piacere Luigi come stai,euro un lo mario
Le auguro una buona giornata,le a un un e a
Salve quanto costa quell articolo,lo certo a il rtnco
Prego,pero
Buonasera io sono Mario,lo e io so mario
Perfetto vorrei comprarne due.,pero ora lo lo
Buongiorno io sono Mario,buona io e mario
Dovrebbe arrivare tra qualche minuto,lo tra a a a le minuto
Purtroppo non lo so pero potresti chiedere all autista,purtrtoponen lo lo poesene amenu io
Certo ecco a lei vuole un sacchetto,certo lo a e lo macchiato
A che ora arriva il pullman,a e lo lo
Tutto bene grazie,lo e lo io
