Truth,Decoded
Tutto bene grazie,lo io
Certo ecco a lei vuole un sacchetto,lo lo lo lo e lo
Buonasera io sono Mario,lo lo lo e lo
Le auguro una buona giornata,prte lo lo e lo
A che ora arriva il pullman,e lo lo io lo
Piacere Luigi come stai,lo lo io lo
Buongiorno io sono Mario,pero lo lo lo e lo
Dovrebbe arrivare tra qualche minuto,e lo lo e lo
Salve quanto costa quell articolo,e lo lo
Va bene grazie lo stesso,lo lo lo lo
Purtroppo non lo so pero potresti chiedere all autista,lo lo lo lo e io
Prendiamo un caffe al bar,lo lo e io
Perfetto vorrei comprarne due.,lo lo lo e lo
E in offerta costa dieci euro,e lo
Quanto costa il biglietto,e lo e lo
Si grazie e arrivederci,lo lo lo
