Truth,Decoded
Certo ecco a lei vuole un sacchetto,lo io
E in offerta costa dieci euro,pero io
Va bene grazie lo stesso,lo lo e io
Le auguro una buona giornata,pero lo lo lo e io
Purtroppo non lo so pero potresti chiedere all autista,certo lo lo e io
Prendiamo un caffe al bar,lo lo mario
A che ora arriva il pullman,e e lo io
Tutto bene grazie,lo lo io
Quanto costa il biglietto,lo io
Perfetto vorrei comprarne due.,lo lo lo lo lo e io
Buongiorno io sono Mario,lo lo
"Certo volentieri, io lo prendero macchiato",pero lo e io
Si grazie e arrivederci,e e io
Tutto bene grazie,lo io
Tutto bene tu,lo lo
E in offerta costa dieci euro,a a e lo e due
