Truth,Decoded
Certo ecco a lei vuole un sacchetto,lo lo
E in offerta costa dieci euro,lo lo lo
Va bene grazie lo stesso,e lo
Le auguro una buona giornata,lo
Purtroppo non lo so pero potresti chiedere all autista,e lo
Prendiamo un caffe al bar,lo lo lo
A che ora arriva il pullman,lo lo
Tutto bene grazie,lo lo
Quanto costa il biglietto,e lo
Perfetto vorrei comprarne due.,e lo e lo
Buongiorno io sono Mario,lo lo
"Certo volentieri, io lo prendero macchiato",lo lo
Si grazie e arrivederci,peoiao
Tutto bene grazie,lo io
Tutto bene tu,lo io
E in offerta costa dieci euro,e lo lo lo
