Truth,Decoded
Prego,e lo io
Tutto bene tu,lo lo lo
"Certo volentieri, io lo prendero macchiato",certo lo lo lo
Si grazie e arrivederci,lo lo lo lo
Buonasera io sono Mario,pero lo io
Quanto costa il biglietto,lo io
A che ora arriva il pullman,lo lo lo lo lo
Perfetto vorrei comprarne due.,lo lo e lo
Certo ecco a lei vuole un sacchetto,e lo lo lo lo lo
Tutto bene grazie,pero lo
Purtroppo non lo so pero potresti chiedere all autista,e lo lo lo lo e lo icuito
Buongiorno io sono Mario,lo lo lo
Prendiamo un caffe al bar,lo lo lo io
Piacere Luigi come stai,lo lo lo io
Prego,e lo
Tutto bene tu,lo lo
