Truth,Decoded
Prego,e io
Tutto bene tu,pero lo
"Certo volentieri, io lo prendero macchiato",certo lo e lo
Si grazie e arrivederci,lo lo lo
Buonasera io sono Mario,pero lo io
Quanto costa il biglietto,lo lo
A che ora arriva il pullman,e lo lo lo lo lo
Perfetto vorrei comprarne due.,lo lo lo e lo
Certo ecco a lei vuole un sacchetto,lo lo lo lo lo e ecco
Tutto bene grazie,pero lo
Purtroppo non lo so pero potresti chiedere all autista,e lo lo lo lo lo e lo icutito
Buongiorno io sono Mario,lo lo
Prendiamo un caffe al bar,lo lo lo e io
Piacere Luigi come stai,pero lo lo
Prego,e io
Tutto bene tu,pero lo
