Truth,Decoded
Va bene grazie lo stesso,e lo
Salve quanto costa quell articolo,certo lo e io lo achito
Dovrebbe arrivare tra qualche minuto,e lo uouau lo
Le auguro una buona giornata,paouo lo a io lo
E in offerta costa dieci euro,lo lo lo lo lo lo e lo
"Certo volentieri, io lo prendero macchiato",lo lo lo lo lo lo e lo
Si grazie e arrivederci,a a lo
Tutto bene tu,lo
Piacere Luigi come stai,lo lo
Purtroppo non lo so pero potresti chiedere all autista,pero lo e a io e lo
Va bene grazie lo stesso,e lo
Perfetto vorrei comprarne due.,a a lo
E in offerta costa dieci euro,a lo
Certo ecco a lei vuole un sacchetto,e e lo e lo
Salve quanto costa quell articolo,e lo a lo
Buonasera io sono Mario,e lo lo lo
