Truth,Decoded
Prego,pero
Tutto bene tu,lo lo mario
"Certo volentieri, io lo prendero macchiato",buatnuon lo lo lo lo mario
Si grazie e arrivederci,seaucn e lo io lo
Buonasera io sono Mario,buona io un mario
Quanto costa il biglietto,pero io lo io acise
A che ora arriva il pullman,e lo e e a lo a
Perfetto vorrei comprarne due.,certo lo all due
Certo ecco a lei vuole un sacchetto,lo lo a lo all ecco
Tutto bene grazie,un io
Purtroppo non lo so pero potresti chiedere all autista,purtotono lo lo lo costa come e lo autista
Buongiorno io sono Mario,burononio lo mario
Prendiamo un caffe al bar,euro a un a
Piacere Luigi come stai,buona lo e mario
Prego,pero
Tutto bene tu,tutto a
