Truth,Decoded
Quanto costa il biglietto,lo lo lo
"Certo volentieri, io lo prendero macchiato",due lo lo e e io
Prendiamo un caffe al bar,tu lo e io
Va bene grazie lo stesso,tutto lo lo e lo
Piacere Luigi come stai,lo lo io
Le auguro una buona giornata,tu lo lo e io
Salve quanto costa quell articolo,tutto lo lo e lo
Prego,un lo
Buonasera io sono Mario,lo lo io
Perfetto vorrei comprarne due.,tutto lo lo
Buongiorno io sono Mario,lo io
Dovrebbe arrivare tra qualche minuto,lo lo lo e io
Purtroppo non lo so pero potresti chiedere all autista,tutto lo lo lo bene e rctito
Certo ecco a lei vuole un sacchetto,due io
A che ora arriva il pullman,e lo e io
Tutto bene grazie,pero e lo
