Truth,Decoded
Buongiorno io sono Mario,buonorn io sono mario
Le auguro una buona giornata,lgurona un a
A che ora arriva il pullman,lo lo mario ilman
Prego,pero
Tutto bene grazie,tutto benazie
Dovrebbe arrivare tra qualche minuto,dbreara e e e che minuto
"Certo volentieri, io lo prendero macchiato",ptoiro lo bene lo mario
Quanto costa il biglietto,tutto e e bene
Prendiamo un caffe al bar,e io a all
Dovrebbe arrivare tra qualche minuto,lo a bar a euro
Piacere Luigi come stai,euro io io le stai
Salve quanto costa quell articolo,salve a e e
Prego,e e
Buonasera io sono Mario,ora e a
Si grazie e arrivederci,lo tu
Tutto bene tu,tutto io tu
