Truth,Decoded
Buongiorno io sono Mario,lo lo mario
Le auguro una buona giornata,lo lo
A che ora arriva il pullman,e e e a
Prego,lo
Tutto bene grazie,tutto bar
Dovrebbe arrivare tra qualche minuto,e a a a lo
"Certo volentieri, io lo prendero macchiato",e lo lo e e mario
Quanto costa il biglietto,tutto e lo
Prendiamo un caffe al bar,pabt a
Dovrebbe arrivare tra qualche minuto,lo e a
Piacere Luigi come stai,euro lo io e a
Salve quanto costa quell articolo,e e
Prego,tu io
Buonasera io sono Mario,lo lo mario
Si grazie e arrivederci,un e
Tutto bene tu,lo e a
