Truth,Decoded
Tutto bene grazie,a lo
Certo ecco a lei vuole un sacchetto,lo lo lo lo e lo
Buonasera io sono Mario,lo lo lo e lo
Le auguro una buona giornata,lo lo lo lo lo
A che ora arriva il pullman,lo lo lo lo lo
Piacere Luigi come stai,lo lo io e lo
Buongiorno io sono Mario,lo lo lo lo
Dovrebbe arrivare tra qualche minuto,e lo lo lo lo lo
Salve quanto costa quell articolo,lo lo lo
Va bene grazie lo stesso,lo lo lo lo
Purtroppo non lo so pero potresti chiedere all autista,certo lo lo io io
Prendiamo un caffe al bar,lo e io
Perfetto vorrei comprarne due.,lo e lo
E in offerta costa dieci euro,a lo
Quanto costa il biglietto,lo lo lo
Si grazie e arrivederci,lo lo lo
