Truth,Decoded
Va bene grazie lo stesso,pero lo lo
Salve quanto costa quell articolo,lo lo lo lo e lo rletito
Dovrebbe arrivare tra qualche minuto,a lo lo lo lo
Le auguro una buona giornata,lo lo lo lo e lo
E in offerta costa dieci euro,pero lo lo lo lo lo lo e lo
"Certo volentieri, io lo prendero macchiato",e lo lo lo io io lo e e lo
Si grazie e arrivederci,eoeao
Tutto bene tu,e lo
Piacere Luigi come stai,lo lo
Purtroppo non lo so pero potresti chiedere all autista,e lo lo lo e lo
Va bene grazie lo stesso,lo
Perfetto vorrei comprarne due.,e lo
E in offerta costa dieci euro,lo lo
Certo ecco a lei vuole un sacchetto,e e lo
Salve quanto costa quell articolo,e lo lo
Buonasera io sono Mario,a lo lo
