Truth,Decoded
Quanto costa il biglietto,lo
"Certo volentieri, io lo prendero macchiato",pero lo lo lo
Prendiamo un caffe al bar,tu e io
Va bene grazie lo stesso,e lo
Piacere Luigi come stai,pero lo
Le auguro una buona giornata,e lo io
Salve quanto costa quell articolo,lo lo lo
Prego,e lo
Buonasera io sono Mario,tu lo
Perfetto vorrei comprarne due.,lo lo
Buongiorno io sono Mario,puoeo
Dovrebbe arrivare tra qualche minuto,lo lo lo lo
Purtroppo non lo so pero potresti chiedere all autista,lo e rtito
Certo ecco a lei vuole un sacchetto,lo lo lo
A che ora arriva il pullman,e lo lo lo
Tutto bene grazie,pero
