Truth,Decoded
Prego,io
Tutto bene tu,lo lo
"Certo volentieri, io lo prendero macchiato",lo lo lo e lo
Si grazie e arrivederci,lo lo lo lo
Buonasera io sono Mario,lo lo lo
Quanto costa il biglietto,lo lo lo
A che ora arriva il pullman,e lo lo lo lo
Perfetto vorrei comprarne due.,lo lo a lo
Certo ecco a lei vuole un sacchetto,e e lo lo lo e lo
Tutto bene grazie,lo lo
Purtroppo non lo so pero potresti chiedere all autista,e lo lo lo lo lo lei lo e acuio
Buongiorno io sono Mario,lo lo lo
Prendiamo un caffe al bar,pero a lo
Piacere Luigi come stai,pero lo lo lo
Prego,e lo
Tutto bene tu,lo lo
