Truth,Decoded
Quanto costa il biglietto,lo lo
"Certo volentieri, io lo prendero macchiato",pero lo lo io
Prendiamo un caffe al bar,tu io
Va bene grazie lo stesso,lo
Piacere Luigi come stai,lo io
Le auguro una buona giornata,pero io
Salve quanto costa quell articolo,lo lo
Prego,pero
Buonasera io sono Mario,lo lo
Perfetto vorrei comprarne due.,lo lo
Buongiorno io sono Mario,lo lo
Dovrebbe arrivare tra qualche minuto,lo lo lo
Purtroppo non lo so pero potresti chiedere all autista,lo lo bene ctitato
Certo ecco a lei vuole un sacchetto,lo io
A che ora arriva il pullman,e lo lo lo
Tutto bene grazie,e lo
