Truth,Decoded
Prego,e a
Tutto bene tu,lo lo
"Certo volentieri, io lo prendero macchiato",butouo lo lo lo e mario
Si grazie e arrivederci,lo lo lo io lo
Buonasera io sono Mario,un lo lo io
Quanto costa il biglietto,lo lo lo io io
A che ora arriva il pullman,e lo lo lo io a
Perfetto vorrei comprarne due.,lo lo a lo
Certo ecco a lei vuole un sacchetto,lo lo lo lo le tu
Tutto bene grazie,un lo
Purtroppo non lo so pero potresti chiedere all autista,tutto lo lo lo lo stai come autista
Buongiorno io sono Mario,lo lo lo lo
Prendiamo un caffe al bar,lo lo e a
Piacere Luigi come stai,lo lo lo e mario
Prego,pero
Tutto bene tu,lo lo
