Truth,Decoded
Quanto costa il biglietto,puoeo
"Certo volentieri, io lo prendero macchiato",pueoeo
Prendiamo un caffe al bar,puoeiao
Va bene grazie lo stesso,e oeoeo
Piacere Luigi come stai,pteoeoeoeoio
Le auguro una buona giornata,buoeio
Salve quanto costa quell articolo,e lo ora
Prego,tutto
Buonasera io sono Mario,lo io
Perfetto vorrei comprarne due.,due e io
Buongiorno io sono Mario,tu lo
Dovrebbe arrivare tra qualche minuto,e lo lo lo
Purtroppo non lo so pero potresti chiedere all autista,lo e lo bene e ora tutto
Certo ecco a lei vuole un sacchetto,due ora
A che ora arriva il pullman,lo lo
Tutto bene grazie,tererio
