Truth,Decoded
Certo ecco a lei vuole un sacchetto,e lo lo
E in offerta costa dieci euro,lo lo
Va bene grazie lo stesso,e lo
Le auguro una buona giornata,lo lo
Purtroppo non lo so pero potresti chiedere all autista,e lo
Prendiamo un caffe al bar,lo lo lo
A che ora arriva il pullman,e lo
Tutto bene grazie,lo lo
Quanto costa il biglietto,e lo
Perfetto vorrei comprarne due.,e lo lo
Buongiorno io sono Mario,lo lo
"Certo volentieri, io lo prendero macchiato",e lo
Si grazie e arrivederci,e io
Tutto bene grazie,e io
Tutto bene tu,lo lo
E in offerta costa dieci euro,e lo
