Truth,Decoded
Certo ecco a lei vuole un sacchetto,lo a io e
E in offerta costa dieci euro,grazie io
Va bene grazie lo stesso,ora io io certo
Le auguro una buona giornata,pero lo io il
Purtroppo non lo so pero potresti chiedere all autista,certo a io lo io io lo una
Prendiamo un caffe al bar,e e e io e
A che ora arriva il pullman,praia io arriva lo
Tutto bene grazie,certo io etzie
Quanto costa il biglietto,quanto io io lo
Perfetto vorrei comprarne due.,si e io le tu
Buongiorno io sono Mario,lo lo
"Certo volentieri, io lo prendero macchiato",io io due
Si grazie e arrivederci,si gaerci
Tutto bene grazie,tu lo un mario
Tutto bene tu,tutto e tu
E in offerta costa dieci euro,e in come e costa io euro
