Truth,Decoded
Certo ecco a lei vuole un sacchetto,e io
E in offerta costa dieci euro,e io
Va bene grazie lo stesso,e io
Le auguro una buona giornata,lo lo e lo
Purtroppo non lo so pero potresti chiedere all autista,pero lo e io
Prendiamo un caffe al bar,lo lo io
A che ora arriva il pullman,e e io
Tutto bene grazie,lo io
Quanto costa il biglietto,a io
Perfetto vorrei comprarne due.,lo e lo lo e io
Buongiorno io sono Mario,lo
"Certo volentieri, io lo prendero macchiato",e e io
Si grazie e arrivederci,a io
Tutto bene grazie,lo io
Tutto bene tu,lo lo
E in offerta costa dieci euro,a a lo e lo
