Truth,Decoded
Certo ecco a lei vuole un sacchetto,e e a io
E in offerta costa dieci euro,pero e bene
Va bene grazie lo stesso,lo e io stai
Le auguro una buona giornata,io lo lo io bene
Purtroppo non lo so pero potresti chiedere all autista,pero lo io lo e io io due una
Prendiamo un caffe al bar,e e e lo e
A che ora arriva il pullman,e io e io il
Tutto bene grazie,certo io etzie
Quanto costa il biglietto,certo io io lo
Perfetto vorrei comprarne due.,sireo e bene tu
Buongiorno io sono Mario,pero lo
"Certo volentieri, io lo prendero macchiato",io e e
Si grazie e arrivederci,si aetci
Tutto bene grazie,tu lo e mario
Tutto bene tu,lo lo e tu
E in offerta costa dieci euro,e in costa e costa io euro
