Truth,Decoded
Quanto costa il biglietto,lo lo
"Certo volentieri, io lo prendero macchiato",pero lo e lo mario
Prendiamo un caffe al bar,lo io
Va bene grazie lo stesso,e a lo
Piacere Luigi come stai,lo mario
Le auguro una buona giornata,lo a lo
Salve quanto costa quell articolo,a a io lo
Prego,lo
Buonasera io sono Mario,lo lo lo
Perfetto vorrei comprarne due.,e e lo
Buongiorno io sono Mario,lo lo lo lo
Dovrebbe arrivare tra qualche minuto,e lo a lo
Purtroppo non lo so pero potresti chiedere all autista,lo lo lo lo e oeviede onctitato
Certo ecco a lei vuole un sacchetto,e lo mario
A che ora arriva il pullman,lo e lo
Tutto bene grazie,a lo
