Truth,Decoded
Tutto bene grazie,a lo
Certo ecco a lei vuole un sacchetto,a lo lo
Buonasera io sono Mario,lo lo lo
Le auguro una buona giornata,a lo lo
A che ora arriva il pullman,a lo lo
Piacere Luigi come stai,lo lo
Buongiorno io sono Mario,pero lo lo
Dovrebbe arrivare tra qualche minuto,e lo lo
Salve quanto costa quell articolo,a lo lo
Va bene grazie lo stesso,a lo
Purtroppo non lo so pero potresti chiedere all autista,lo lo e io
Prendiamo un caffe al bar,lo io
Perfetto vorrei comprarne due.,lo e lo
E in offerta costa dieci euro,e lo
Quanto costa il biglietto,ora lo
Si grazie e arrivederci,lo lo
