Truth,Decoded
Buongiorno io sono Mario,lo lo lo
Le auguro una buona giornata,e lo lo
A che ora arriva il pullman,a lo a lo
Prego,lo
Tutto bene grazie,lo lo
Dovrebbe arrivare tra qualche minuto,e e a a lo
"Certo volentieri, io lo prendero macchiato",lo e e a lo
Quanto costa il biglietto,pero e a lo
Prendiamo un caffe al bar,a a
Dovrebbe arrivare tra qualche minuto,lo a
Piacere Luigi come stai,pero io
Salve quanto costa quell articolo,e lo
Prego,e io
Buonasera io sono Mario,pero io
Si grazie e arrivederci,lo lo
Tutto bene tu,lo io
