Truth,Decoded
Va bene grazie lo stesso,pero lo
Salve quanto costa quell articolo,lo lo lo lo e certo
Dovrebbe arrivare tra qualche minuto,e lo lo io
Le auguro una buona giornata,lo lo lo
E in offerta costa dieci euro,lo lo lo lo lo e io
"Certo volentieri, io lo prendero macchiato",lo lo lo lo lo lo e lo
Si grazie e arrivederci,lo lo
Tutto bene tu,lo
Piacere Luigi come stai,lo lo
Purtroppo non lo so pero potresti chiedere all autista,lo lo lo
Va bene grazie lo stesso,lo
Perfetto vorrei comprarne due.,e lo
E in offerta costa dieci euro,lo lo
Certo ecco a lei vuole un sacchetto,e lo
Salve quanto costa quell articolo,e lo
Buonasera io sono Mario,e lo
