Truth,Decoded
Buongiorno io sono Mario,lo lo
Le auguro una buona giornata,lo lo lo
A che ora arriva il pullman,e lo
Prego,lo
Tutto bene grazie,e lo
Dovrebbe arrivare tra qualche minuto,e lo lo
"Certo volentieri, io lo prendero macchiato",lo lo
Quanto costa il biglietto,lo lo
Prendiamo un caffe al bar,a a lo
Dovrebbe arrivare tra qualche minuto,e lo
Piacere Luigi come stai,e lo
Salve quanto costa quell articolo,e lo
Prego,pero
Buonasera io sono Mario,e lo
Si grazie e arrivederci,e lo
Tutto bene tu,e lo
