Truth,Decoded
Buongiorno io sono Mario,lo lo
Le auguro una buona giornata,e lo lo
A che ora arriva il pullman,lo lo lo
Prego,lo
Tutto bene grazie,e lo
Dovrebbe arrivare tra qualche minuto,lo lo lo lo
"Certo volentieri, io lo prendero macchiato",lo lo
Quanto costa il biglietto,pero lo a lo
Prendiamo un caffe al bar,a a
Dovrebbe arrivare tra qualche minuto,lo a
Piacere Luigi come stai,lo io
Salve quanto costa quell articolo,e io
Prego,e io
Buonasera io sono Mario,lo e a
Si grazie e arrivederci,lo io
Tutto bene tu,lo e io
