Truth,Decoded
Quanto costa il biglietto,e e lo
"Certo volentieri, io lo prendero macchiato",lo oeiri io lo mario
Prendiamo un caffe al bar,pero lo a a bar
Va bene grazie lo stesso,due e a e io
Piacere Luigi come stai,lo un mario
Le auguro una buona giornata,le un un a
Salve quanto costa quell articolo,lo lo a le lo
Prego,pero
Buonasera io sono Mario,lo e io lo mario
Perfetto vorrei comprarne due.,certo ora lo
Buongiorno io sono Mario,bene io lo mario
Dovrebbe arrivare tra qualche minuto,tu euro a a a e minuto
Purtroppo non lo so pero potresti chiedere all autista,tutto non lo lo orede amonu rato
Certo ecco a lei vuole un sacchetto,e a lo lo mario
A che ora arriva il pullman,a a lo lo
Tutto bene grazie,e e lo
