Truth,Decoded
Tutto bene grazie,tereraio
Certo ecco a lei vuole un sacchetto,e eoeraito
Buonasera io sono Mario,pteieieiererao
Le auguro una buona giornata,e ereiereraio
A che ora arriva il pullman,e eoreraio
Piacere Luigi come stai,e eiereraio
Buongiorno io sono Mario,e e e e e ererio
Dovrebbe arrivare tra qualche minuto,e e eoeraio
Salve quanto costa quell articolo,certo
Va bene grazie lo stesso,rteoeoraio
Purtroppo non lo so pero potresti chiedere all autista,un eioeoeoerao
Prendiamo un caffe al bar,e eirerio
Perfetto vorrei comprarne due.,e e e bene rato
E in offerta costa dieci euro,certo
Quanto costa il biglietto,tereraio
Si grazie e arrivederci,reraio
