Truth,Decoded
Certo ecco a lei vuole un sacchetto,lo e a io e
E in offerta costa dieci euro,pero e e
Va bene grazie lo stesso,pero e io io
Le auguro una buona giornata,pero lo lo io e e
Purtroppo non lo so pero potresti chiedere all autista,purtro lo io lo e io iedre una
Prendiamo un caffe al bar,e e e a
A che ora arriva il pullman,pero ora e si a
Tutto bene grazie,pero lo grazie
Quanto costa il biglietto,pero io io
Perfetto vorrei comprarne due.,io lo e lo e tu
Buongiorno io sono Mario,lo
"Certo volentieri, io lo prendero macchiato",io e e
Si grazie e arrivederci,si aetio
Tutto bene grazie,tutto e mario
Tutto bene tu,lo e tu
E in offerta costa dieci euro,e a costa e a a euro
