Truth,Decoded
Buongiorno io sono Mario,lo lo
Le auguro una buona giornata,io lo
A che ora arriva il pullman,lo lo
Prego,lo
Tutto bene grazie,pero
Dovrebbe arrivare tra qualche minuto,lo lo e lo
"Certo volentieri, io lo prendero macchiato",e lo lo lo e lo
Quanto costa il biglietto,lo lo
Prendiamo un caffe al bar,e lo lo
Dovrebbe arrivare tra qualche minuto,lo lo lo e lo
Piacere Luigi come stai,lo e lo
Salve quanto costa quell articolo,e lo lo lo
Prego,e lo
Buonasera io sono Mario,lo lo lo
Si grazie e arrivederci,e lo e lo
Tutto bene tu,lo lo lo
