Truth,Decoded
Certo ecco a lei vuole un sacchetto,e io
E in offerta costa dieci euro,e io
Va bene grazie lo stesso,e e lo
Le auguro una buona giornata,lo lo
Purtroppo non lo so pero potresti chiedere all autista,e lo
Prendiamo un caffe al bar,lo io
A che ora arriva il pullman,e lo
Tutto bene grazie,e io
Quanto costa il biglietto,a lo
Perfetto vorrei comprarne due.,e e lo
Buongiorno io sono Mario,lo lo
"Certo volentieri, io lo prendero macchiato",e lo
Si grazie e arrivederci,pero
Tutto bene grazie,lo io
Tutto bene tu,lo lo
E in offerta costa dieci euro,a lo
