Truth,Decoded
Quanto costa il biglietto,puoeo
"Certo volentieri, io lo prendero macchiato",lo lo lo lo
Prendiamo un caffe al bar,lo e io
Va bene grazie lo stesso,tu lo
Piacere Luigi come stai,lo io
Le auguro una buona giornata,e lo io
Salve quanto costa quell articolo,lo lo lo
Prego,e lo
Buonasera io sono Mario,lo lo
Perfetto vorrei comprarne due.,lo lo
Buongiorno io sono Mario,puoeo
Dovrebbe arrivare tra qualche minuto,lo lo lo lo
Purtroppo non lo so pero potresti chiedere all autista,lo lo e rtito
Certo ecco a lei vuole un sacchetto,lo lo
A che ora arriva il pullman,e lo lo
Tutto bene grazie,e lo
