Truth,Decoded
Buongiorno io sono Mario,lo lo lo lo
Le auguro una buona giornata,un e
A che ora arriva il pullman,e lo lo a a
Prego,lo
Tutto bene grazie,tutto e a
Dovrebbe arrivare tra qualche minuto,bar a a bene
"Certo volentieri, io lo prendero macchiato",lo lo lo ora e mario
Quanto costa il biglietto,tutto lo e io
Prendiamo un caffe al bar,pabt un
Dovrebbe arrivare tra qualche minuto,lo e e e a
Piacere Luigi come stai,due lo io il a
Salve quanto costa quell articolo,a e e
Prego,lo tu
Buonasera io sono Mario,lo lo lo mario
Si grazie e arrivederci,pero tu
Tutto bene tu,lo lo io a
