Truth,Decoded
Certo ecco a lei vuole un sacchetto,un e
E in offerta costa dieci euro,due tu
Va bene grazie lo stesso,lo e io io
Le auguro una buona giornata,pero lo e e e
Purtroppo non lo so pero potresti chiedere all autista,tutto lo lo e a
Prendiamo un caffe al bar,pero lo io
A che ora arriva il pullman,e e e io
Tutto bene grazie,lo lo io
Quanto costa il biglietto,lo io
Perfetto vorrei comprarne due.,lo lo lo lo lo io
Buongiorno io sono Mario,lo
"Certo volentieri, io lo prendero macchiato",un e un
Si grazie e arrivederci,un lo
Tutto bene grazie,lo e io
Tutto bene tu,lo lo
E in offerta costa dieci euro,a a e e e io
