Truth,Decoded
Va bene grazie lo stesso,tutto bene tu
Salve quanto costa quell articolo,pero io lo come macchiato
Dovrebbe arrivare tra qualche minuto,lo e che a e rtolo
Le auguro una buona giornata,le auguro una una a
E in offerta costa dieci euro,e in un certo a tu io euro
"Certo volentieri, io lo prendero macchiato",burtono tu io io poede achito
Si grazie e arrivederci,e e reaereo
Tutto bene tu,tutto tu
Piacere Luigi come stai,peaecro un il stai
Purtroppo non lo so pero potresti chiedere all autista,purtroppo lo lo lo lo stai come autista
Va bene grazie lo stesso,e bar stesso
Perfetto vorrei comprarne due.,certo ora come due
E in offerta costa dieci euro,e a costa costa e io euro
Certo ecco a lei vuole un sacchetto,lo e a e coelo stcheto
Salve quanto costa quell articolo,lo a a un rtilo
Buonasera io sono Mario,buona io sono mario
