Truth,Decoded
Va bene grazie lo stesso,e lo
Salve quanto costa quell articolo,pero lo lo io achito
Dovrebbe arrivare tra qualche minuto,e lo lo lo
Le auguro una buona giornata,lo lo lo
E in offerta costa dieci euro,e lo lo lo lo lo
"Certo volentieri, io lo prendero macchiato",lo lo lo lo lo lo io
Si grazie e arrivederci,a lo
Tutto bene tu,e lo
Piacere Luigi come stai,e lo lo
Purtroppo non lo so pero potresti chiedere all autista,lo lo lo io lo
Va bene grazie lo stesso,e lo
Perfetto vorrei comprarne due.,e lo
E in offerta costa dieci euro,a lo
Certo ecco a lei vuole un sacchetto,e lo lo
Salve quanto costa quell articolo,e lo lo
Buonasera io sono Mario,a lo
