Truth,Decoded
Certo ecco a lei vuole un sacchetto,due a e
E in offerta costa dieci euro,e e e
Va bene grazie lo stesso,ora e io tu
Le auguro una buona giornata,lo lo lo io e
Purtroppo non lo so pero potresti chiedere all autista,pero lo lo lo io io lo a
Prendiamo un caffe al bar,e e lo a
A che ora arriva il pullman,due bene e a a
Tutto bene grazie,lo lo a
Quanto costa il biglietto,lo io io e
Perfetto vorrei comprarne due.,sono e e lo e tu
Buongiorno io sono Mario,lo lo
"Certo volentieri, io lo prendero macchiato",lo e due
Si grazie e arrivederci,stai tu
Tutto bene grazie,tu lo e e mario
Tutto bene tu,tutto e e
E in offerta costa dieci euro,e a coeara e a un euro
