Truth,Decoded
Prego,e reraio
Tutto bene tu,pero io
"Certo volentieri, io lo prendero macchiato",prte e e eieraio
Si grazie e arrivederci,e lo io
Buonasera io sono Mario,e lo lo lo io
Quanto costa il biglietto,proiorito
A che ora arriva il pullman,lo lo lo
Perfetto vorrei comprarne due.,lo lo lo lo lo e lo
Certo ecco a lei vuole un sacchetto,lo lo lo lo oeoeorcto
Tutto bene grazie,e ora
Purtroppo non lo so pero potresti chiedere all autista,e lo lo lo lo lo lo lo e lo e certo
Buongiorno io sono Mario,lo lo io
Prendiamo un caffe al bar,lo io
Piacere Luigi come stai,e lo lo lo
Prego,pioirito
Tutto bene tu,pero certo
