Truth,Decoded
Prego,prego
Tutto bene tu,lo lo bene
"Certo volentieri, io lo prendero macchiato",puatononri io pero macchiato
Si grazie e arrivederci,ciace tu io crci
Buonasera io sono Mario,buona sono mario
Quanto costa il biglietto,puatrono stai io io autista
A che ora arriva il pullman,che e mario il
Perfetto vorrei comprarne due.,pero ora prnute
Certo ecco a lei vuole un sacchetto,lo a a lo e io
Tutto bene grazie,tutoenazie
Purtroppo non lo so pero potresti chiedere all autista,tutto lo lo lo lo lo costa come al autista
Buongiorno io sono Mario,buononio sono mario
Prendiamo un caffe al bar,puren e e a
Piacere Luigi come stai,puace un e mario
Prego,prego
Tutto bene tu,tutto tu
